id;creation_time;modification_time;name;type;user_id
1;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;기본;0;f2e2c087-4ce6-4190-9778-789e88d7f9c5
2;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;기본;1;f2e2c087-4ce6-4190-9778-789e88d7f9c5
3;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;기본;0;3393152d-e3ca-451e-9893-888112f482e9
4;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;기본;1;3393152d-e3ca-451e-9893-888112f482e9
5;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;기본;0;8422cff9-5423-44ea-bf0f-d82457cda4c9
6;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;기본;1;8422cff9-5423-44ea-bf0f-d82457cda4c9
7;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;기본;0;96053f94-d1c2-40d3-bad0-0ba235ccb562
8;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;기본;1;96053f94-d1c2-40d3-bad0-0ba235ccb562
9;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;기본;0;4751a1fd-7aae-4879-8e4d-d72e36c4a59b
10;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;기본;1;4751a1fd-7aae-4879-8e4d-d72e36c4a59b
11;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;기본;0;7e99c574-0b3a-4002-be13-657caaa05de2
12;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;기본;1;7e99c574-0b3a-4002-be13-657caaa05de2
13;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;기본;0;3b608f0e-fe85-4c3b-b3b8-ef5fed601599
14;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;기본;1;3b608f0e-fe85-4c3b-b3b8-ef5fed601599
15;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;기본;0;b7cade77-9ebe-4ebe-b9d8-b18f854fbdf6
16;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;기본;1;b7cade77-9ebe-4ebe-b9d8-b18f854fbdf6
17;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;기본;0;678a683b-98e7-4c9e-9750-05272515aee4
18;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;기본;1;678a683b-98e7-4c9e-9750-05272515aee4
19;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;기본;0;75150c05-2782-4017-919a-9a1685ffd0b3
20;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;기본;1;75150c05-2782-4017-919a-9a1685ffd0b3
