menu_id,hashtag_id,creation_time
1,40,2021-10-30 13:24:44.48495+09
2,41,2021-10-30 13:24:44.48495+09
3,42,2021-10-30 13:24:44.48495+09
4,43,2021-10-30 13:24:44.48495+09
5,44,2021-10-30 13:24:44.48495+09
6,45,2021-10-30 13:24:44.48495+09
7,46,2021-10-30 13:24:44.48495+09
8,47,2021-10-30 13:24:44.48495+09
9,48,2021-10-30 13:24:44.48495+09
10,49,2021-10-30 13:24:44.48495+09
10,40,2021-10-30 13:24:44.48495+09
11,51,2021-10-30 13:24:44.48495+09
12,52,2021-10-30 13:24:44.48495+09
13,53,2021-10-30 13:24:44.48495+09
14,54,2021-10-30 13:24:44.48495+09
15,55,2021-10-30 13:24:44.48495+09
16,56,2021-10-30 13:24:44.48495+09
17,57,2021-10-30 13:24:44.48495+09
18,58,2021-10-30 13:24:44.48495+09
19,59,2021-10-30 13:24:44.48495+09
20,60,2021-10-30 13:24:44.48495+09
21,61,2021-10-30 13:24:44.48495+09
22,62,2021-10-30 13:24:44.48495+09
23,63,2021-10-30 13:24:44.48495+09
24,64,2021-10-30 13:24:44.48495+09
25,65,2021-10-30 13:24:44.48495+09
26,57,2021-10-30 13:24:44.48495+09
27,67,2021-10-30 13:24:44.48495+09
28,68,2021-10-30 13:24:44.48495+09
29,69,2021-10-30 13:24:44.48495+09
29,70,2021-10-30 13:24:44.48495+09
30,71,2021-10-30 13:24:44.48495+09
31,72,2021-10-30 13:24:44.48495+09
32,74,2021-10-30 13:24:44.48495+09
32,75,2021-10-30 13:24:44.48495+09
32,73,2021-10-30 13:24:44.48495+09
33,77,2021-10-30 13:24:44.48495+09
33,76,2021-10-30 13:24:44.48495+09
34,62,2021-10-30 13:24:44.48495+09
35,79,2021-10-30 13:24:44.48495+09
36,81,2021-10-30 13:24:44.48495+09
36,80,2021-10-30 13:24:44.48495+09
